c8465d50-ad78-4dcf-acf9-74b71a053019,1,1,Kobi Dalal,1
b8465d50-ad78-4dcf-acf9-74b71a053019,2,2,Kobi Dalal,0
3e5a1b43-8632-4290-aff7-266a33ea45c0,test2@gmail.com,123,Kobi's Resturant,0
fe444eb7-0f2c-46c1-b341-beabe704a5fc,test@test.com,1,Test,0
6735f011-39e5-4b3e-9908-eee9b44212d7,test@test.com,1,Test,0
3d4937f5-533a-4551-9f91-462e114263f5,test@test.com,1,Test,0
76e04bda-1c03-4678-b6e7-edbf57fb7d18,test@test.com,1,Test,0
86898586-d108-4079-9b14-b96ef23b63d1,test@test.com,1,Test,0
043e3329-6214-4935-9b6d-d65d0fd4da6f,resturants@test.com,1,Test,0
72fa3a1f-c630-49d8-abe4-0ef20c70d396,resturants@test.com,1,Test,0
5d40ba9a-a331-4cad-87b8-45e2415dfc2d,resturants@test.com,1,Test,0
ebdfe810-7287-40be-ae37-cf8f492e032b,resturants@test.com,1,Test,0
38e0b0bb-0816-4dba-bf7d-443c9888ac74,resturants@test.com,1,Test,0
